Utterance,Intent,Sentiment,User Action,Slot_Label,Slot_Value
"My bad luck, do you have some other brand phone with same feature ?",1,-1,0,O O O O O O O O O O O B-Radio O O,Y
Does it has DualSim ?,2,0,13,0,0
"Okay, can you pack this phone ?",6,0,0,0,0
Thanks for help,4,1,0,0,0
I wanna buy a phone which fulfills all my requirements.,0,0,0,0,0
Camera should be excellent ,1,0,0,O O O B-S_Camera,"High,High"
How much storage does it offer ?,2,0,5,0,0
And how about the Primary Camera ?,2,0,7,0,0
"Oh, that’s great. How much is the price ?",2,0,8,0,0
"it's not that good, What other phones do you have if I want more storage ?",1,-1,0,O O O O O O O O O O O O O B-Internal_Ram O O,High
How much storage does it offer ?,2,0,5,0,0
How much is it for ?,2,0,8,0,0
"Oh no, that’s very expensive, help me with a cost-effective phone which has got both good camera and good storage.",1,-1,0,O O O O O O O O O B-Cost O O O O O O O O O O,Less
Yeah but my budget is less. I can't afford it,3,0,0,0,0
"Okay, can you pack this phone ?",6,0,0,0,0
Thanks for help,4,1,0,0,0
"Hey, I want to gift a phone to my brother",0,0,0,0,0
"yes, I want a big display size GPS operated phone ",1,0,0,B-Display_Size O O O O O O B-GPS O O,"Big,Y"
What is its price ?,2,0,8,0,0
Unfortunately that's too costly for me. Do you have something in less ?,1,-1,0,O O O O O O O O O O O B-Cost O,Less
"Yes, but i can't spend that much on my phone",3,0,0,0,0
What is its color ?,2,0,2,0,0
what is its weight ?,2,0,14,0,0
It looks good. Please book it for me,6,0,0,0,0
Thanks for all your time.,4,1,0,0,0
"Good Evening, I am looking for a trending phone",0,0,0,0,0
I need to have a phone that has high memory and good battery life.,1,0,0,O O O O O O O O B-RAM O O B-Battery O O,"High,High,High"
What is its color ?,2,0,2,0,0
Whta is its weight ?,2,0,14,0,0
"Oh,that's a bit on heavier side. Do you have something in light weight ?",1,-1,0,O O O O O O O O O O O O B-Weight_g O,Light
Yeah but I don't find comfortable to keep heavy phone in my pocket ,3,0,0,0,0
What is its price ?,2,0,8,0,0
"Okay, I will take this phone.",6,1,0,0,0
thanks a ton,4,1,0,0,0
"Hey, I want to buy a phone.",0,0,0,0,0
I want a tripel sim phone.,1,0,0,O O O B-Sim O O,T
what is its camera quality ?,2,0,7,0,0
What is its color ?,2,0,2,0,0
I don't like black color. Do you have in some other color?,1,-1,0,O B-Color O B-Color O O O O O O O O,Non Black
what is its cost ?,2,0,8,0,0
"Okay, I will take this phone.",6,0,0,0,0
You are a very good salesman. Thanks a lot,4,1,0,0,0
I am looking for a good phone,0,0,0,0,0
I want a small display size phone with good memory,1,0,0,O O O B-Display_Size O O O O  B-RAM O,"Small,High,High"
I want in black color.,1,0,0,O O O B-Color O,Black
What is its OS,2,0,6,0,0
I don't want android phone. ,1,-1,0,O B-OS O B-OS O,Non And
My previous was Android. This time I want to try other OS,3,0,0,0,0
What color is it available in your store ?,2,0,2,0,0
"Okay, I will book black phone",6,0,0,0,0
Thanks a lot.,4,1,0,0,0
"Good evening, I am looking for a good phone",0,0,0,0,0
I am looking for a blue color Samsung phone,1,0,0,O O O O O B-Color O B-Brand O ,"Samsung,Blue"
What is its internal Ram storage ?,2,0,5,0,0
I want a Samsung phone with more internal RAM space,1,0,0,O O O O O O B-Internal_RAM O O O,High
But  I  am not comfortable with external memory card.,3,-1,0,0,0
"Lovely, what is its cost ?",2,0,8,0,0
Book it for me.,6,0,0,0,0
Thanks dear,4,1,0,0,0
"Hi, I am looking for a sturdy phone",0,0,0,0,0
"Hey, I am looking for a Samsung mobile",1,0,0,O O O O O O B-Brand O,Samsung
Yes I am sure. I want samsung phone only,5,0,0,0,0
OS-Bla,1,-1,0,B-Color,Non Black
But Black is not favourite,3,0,0,0,0
What is its price ?,2,0,8,0,0
What is its battery ?,2,0,1,0,0
"Fine, i will take it.",6,0,0,0,0
Thanks a ton,4,1,0,0,0
"Good Evening, I want to buy a cell Phone",0,0,0,0,0
I want to buy a HTC phone,1,0,0,O O O O O B-Brand O,HTC
What is its battery ?,2,0,1,0,0
What is its cost ?,2,0,8,0,0
My budget is more. Do you have expensive phone with more benefits ?,1,0,0,O O O O O O O B-Cost O O O O O,Expensive
I am not interested in this phone. Higher priced phone will have more additional features with good operating system,3,-1,0,0,0
What is its color ?,2,0,2,0,0
I will take it.,6,0,0,0,0
I am very happy today. Thanks a lot ,4,1,0,0,0
"Hi, I want to buy a new phone.",0,0,0,0,0
I want 128 GB internal RAM phone.,1,0,0,O O B-Internal_RAM O O O O,128
What is its color ?,2,0,2,0,0
"oh, I am not fond of silver color. Do you have in some other color.",1,-1,0,O O O B-Color O O B-Color O O O O O O O O,Non Silver
True but somehow i have aversion towards silver color.,3,0,0,0,0
"Lovely, What is its color ?",2,0,2,0,0
What is its price ?,2,0,8,0,0
"Cool, I will take it.",6,0,0,0,0
Thanks a lot,4,1,0,0,0
"Hello, I am in urgent need of a good phone.",0,0,0,0,0
I don't have much requirement. Primary and secondary Camera quality is my primary focus.,1,0,0,O O O O O B-P_Camera O B-S_Camera O O O O O O,"High,High"
What is its primary and secondary camera quality ?,2,0,7,0,0
"oh, I take too many selfie so I want higher quality secondary phone i.e 12 MP+. ",1,-1,0,O O O O O O O O O O O O O O B-S_Camera I-S_Camera,12+
True but my friend have suggested to go for phone with 12 MP secondary camera,3,0,0,0,0
What is its price ?,2,0,8,0,0
I will buy it.,6,0,0,0,0
Thank you for your time,4,1,0,0,0
"Hi, I want to buy a phone",0,0,0,0,0
I want 2016 released HTC phone.,1,0,0,O O B-Released_Yr O B-Brand O,"20116,HTC"
What is its cost ?,2,0,8,0,0
I am looking for a phone which is less that 150 Euro,1,0,0,O O O O O O O O O O B-Cost O,150-
Yeah but I have limited money so can't afford it,3,-1,0,0,0
I have no problem with the storage. I will buy U play.,6,0,0,0,0
Thanks a lot,4,1,0,0,0
"Hello, I am in search of  a good phone.",0,0,0,0,0
"No, It should be DualSim and GPS operated phone",1,0,0,O O O O B-Sim O B-GPS O O ,"D,Y"
"Great, what is its ReleasedYear and ReleasedMonth ?",2,0,9,0,0
"oh, that's an old phone. Do you have 2017 released phone ?",1,-1,0,O O O O O O O O B-Released_Yr O O O,2017
What is its cost ?,2,0,8,0,0
What is its weight ?,2,0,14,0,0
"Okay, I like this phone. Pack it for me.",6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hi, I want to buy a phone",0,0,0,0,0
"Actually, I am not restricted to any particular model but i need to have a phone that have high memory and high internal RAM.",1,0,0,O O O O O O O O O O O O O O O O O O B-RAM O O B-Internal_RAM O O,"High,High"
What is its internal RAM ?,2,0,5,0,0
"Superb, What is its cost ?",2,0,8,0,0
"Unfortunately, that's too costly for me. Do you have 128 GB internal memory phone with lower price ?",1,-1,0,O O O O O O O O O B-Internal_RAM O O O O O B-Cost O O,"128,Less"
That is good to know but can't afford it,3,0,0,0,0
What is its color ?,2,0,2,0,0
I will take it.,6,0,0,0,0
Thanks a ton,4,1,0,0,0
"Hi, I am interested in buying a phone.",0,0,0,0,0
"Yes, it should be light weight and should have small screen",1,0,0,O O O O B-Weight_g O O O O B-Display_Size O,"Light,Small"
Is it a DualSim phone ?,2,0,13,0,0
"Can you recommend  DualSim, light weight and small screen phone ?",1,0,0,O O O B-Sim O O O O O O O ,D
I am not interested in single sim phone. I require DualSim phone,3,-1,0,0,0
What is its price ?,2,0,8,0,0
Lovely it is under my budget. I will buy it.,6,0,0,0,0
Thank you so much,4,1,0,0,0
"Good Evening, I am in urgent need of a phone.",0,0,0,0,0
I don't have any specific mobile in my mind. Can you suggest me a latest phone,1,0,0,O O O O O O O O O O O O O O B-Released_Yr O,Latest
What is its memory ?,2,0,5,0,0
What is its price ?,2,0,8,0,0
But my budget is more around 300 Euro.  Can you suggest in higher range ?,1,-1,0,O O O O O O B-Cost O O O O O O O O,300+
But I want in higher range ,3,0,0,0,0
What is its color ?,2,0,2,0,0
"Lovely, I will buy it.",6,0,0,0,0
Thanks a ton,4,1,0,0,0
"Hello, I want a good phone.",0,0,0,0,0
I want an apple phone.,1,0,0,O O O B-Brand O,Apple
What is its price ?,2,0,8,0,0
It is very costly. Do you have phone under 700 Euro ?,1,-1,0,O O O O O O O O O B-Cost O O,700
But I can't go beyond 700 Euro,3,0,0,0,0
What is its color ?,2,0,2,0,0
What is its internal RAM,2,0,5,0,0
I will take it.,6,0,0,0,0
Thanks a lot.,4,1,0,0,0
I wanna buy a phone which fulfills all my requirements.,0,0,0,0,0
Camera should be excellent and it should be in gold color,1,0,0,O O O B-S_Camera O O O O O B-Color O,"High,Gold"
How much storage does it offer ?,2,0,11,0,0
And how about the Camera ?,2,0,7,0,0
Can you suggest a phone with 128 GB internal RAM,1,0,0,O O O O O O B-Internal_RAM O O O,128
Sorry I can't buy this I need more storage,3,-1,0,0,0
How much storage does it offer ?,2,0,11,0,0
How much is it for ?,2,0,8,0,0
"Okay, can you pack this phone ?",6,0,0,0,0
Thanks for help,4,1,0,0,0
"hi, i am in need of a new phone",0,0,0,0,0
I want gps operated phone with more space,1,0,0,O O B-GPS O O O B-RAM O,"Y,High"
What is its Display Size ?,2,0,3,0,0
"oh, it is small. Do you have big display size phone ?",1,-1,0,O O O O O O O B-Display_Size O O O O,Big
what is its battery ?,2,0,1,0,0
What is its color ?,2,0,2,0,0
"Okay, can you pack this phone ?",6,0,0,0,0
Thanks for help,4,1,0,0,0
"Hi, I want a phone.",0,0,0,0,0
I want to buy a oppo phone,1,0,0,O O O O O B-Brand O,Oppo
What is its camera quality ?,2,0,7,0,0
"Oh it is too less, I want 16 MP Primary and 16 MP Secondary Camera",1,-1,0,O O O O O O O B-P_Camera O O O  B-S_Camera O O O,"16,16"
Still i would go for higher MP phone,3,0,0,0,0
"Cool, what is its memory ?",2,0,11,0,0
What is its cost ?,2,0,8,0,0
"Cool, I will purchase it.",6,0,0,0,0
Thanks a lot,4,1,0,0,0
"Good Evening, I am looking for best smartphone",0,0,0,0,0
"Nothing in Particular, I want a 2017 released android phone which is heavily in demand",1,0,0,O O O O O O B-Released_Yr O B-OS O O O O O O ,"2017,And"
What is its color ?,2,0,2,0,0
"oh, I can't maintain white color. Do you have in blue or black color ?",1,-1,0,O O O O O O O O O O B-Color O B-Color O O,"Black,Blue"
I take your point but still I would go for  Black or Blue,3,0,0,0,0
What is its price ?,2,0,8,0,0
What is its battery capacity ?,2,0,1,0,0
Is it DualSim phone ?,2,0,13,0,0
"Okay, i think i will buy it",6,0,0,0,0
Thanks a lot for helping me in choosing a good phone,4,1,0,0,0
I want a technologically advanced mobile phone,0,0,0,0,0
I want an apple phone that fits my budget,1,0,0,O O O B-Brand O O O O O ,Apple
It should be under 650 Euro,1,0,0,O O O B-Cost I-Cost O,650-
What is its storage ?,2,0,5,0,0
That will not fulfill my need. I need a phone with more space at least 64 GB internal RAM,1,0,0,O O O O O O O O O O O O O O O B-Internal_RAM O O O,64
But I don't want to use memory slot.,3,-1,0,0,0
What is its price ?,2,0,8,0,0
I will take it,6,0,0,0,0
Thanks a lot for your help,4,1,0,0,0
"Hello, I want to buy a phone",0,0,0,0,0
"Yes, i need a GPS operated phone with less weight ",1,0,0,B-GPS O O O O O O O B-Weight_g O,"Y,Light"
how much ?,2,0,8,0,0
whats is its battery ?,2,0,1,0,0
"oh, but this is less",3,-1,0,0,0
"Ok, can you please book it for me",6,0,0,0,0
Thank you ,4,1,0,0,0
"Hey, I need phone info.",0,0,0,0,0
It should be HTC company with less weight,1,0,0,O O O B-Brand O O B-Weight_g O,"HTC,Light"
"Yes, it should be  may 2017 released phone",1,0,0,O O O O B-Released_Month B-Released_Yr O O,"2017,May"
What is its battery capacity ,2,0,1,0,0
but i need 4000mAH minimum,1,-1,0,O O O B-Battery O,4000+
I can buy it. Book it for me,6,0,0,0,0
"OK, Thanks for information.",4,1,0,0,0
I need to buy a phone.,0,0,0,0,0
Phone with good primary camera and high battery capacity,1,0,0,O O B-P_Camera O O O B-Battery O O,"High,High"
No thats all.,5,0,0,0,0
what about secondary camera ?,2,0,12,0,0
What is its Released Year ?,2,0,9,0,0
"oh, but I want a 2017 released phone",1,-1,0,O O O O O B-Released_Yr O O,2017
But I want a new released phone with good camera and battery,3,0,0,0,0
what is it's both camera ? ,2,0,7,0,0
It sounds great.,3,1,0,0,0
Ok can you book it for me ?,6,0,0,0,0
Thanks for assistance.,4,1,0,0,0
"Good Evening, I am looking for a trending phone",0,0,0,0,0
 I need to have a phone that has less weight and good battery life.,1,0,0,O O O O O O O O B-Weight_g O O B-Battery O O,"High,Light"
What is its color ?,2,0,2,0,0
Whta is its internal RAM ?,2,0,5,0,0
oh that's too less. I want at least 64 GB internal RAM,1,-1,0,O O O O O O O O B-Internal_RAM O O O,64
Yeah but I am not comfortable with memory card ,3,0,0,0,0
What is its price ?,2,0,8,0,0
"Okay, I will take this phone.",6,0,0,0,0
thanks a ton,4,1,0,0,0
"Good Evening, I am looking for a trending phone",0,0,0,0,0
I need to have a phone that has high memory and good battery life.,1,0,0,O O O O O O O O B-RAM O O B-Battery O O,"High,High"
What is its color ?,2,0,2,0,0
Whta is its weight ?,2,0,14,0,0
That's a bit on heavier side. Do you have something in light weight ?,1,-1,0,O O O O O O O O O O O B-Weight_g O O,Light
Yeah but I don't find comfortable to keep heavy phone in my pocket ,3,0,0,0,0
What is its price ?,2,0,8,0,0
"Okay, I will take this phone.",6,0,0,0,0
thanks a ton,4,1,0,0,0
"Hello, can you help me in selecting a phone ?",0,0,0,0,0
I want a pink colored dualsim phone.,1,0,0,O O O B-Color O B-Sim O,"Pink,D"
what is its camera quality ?,2,0,7,0,0
What is its weight ?,2,0,14,0,0
It's a bit heavy. I want lighter phone,1,0,0,O O O O O O B-Weight_g O,Light
But I don't feel comfortable carrying heavy phone,3,-1,0,0,0
what is its cost ?,2,0,8,0,0
"Okay, I will take this phone.",6,0,0,0,0
You are a very good salesman. Thanks a lot,4,1,0,0,0
"Hello, I am in search of  a good phone.",0,0,0,0,0
it should have big display and high memory.,1,0,0,O O O B-Display_Size O O B-RAM O,"Big,High,High"
"No, I want high memory phne",5,0,0,0,0
What is its Primary Camera ?,2,0,7,0,0
But still I would go for 16 MP+ camera phone,3,0,0,0,0
What is its cost ?,2,0,8,0,0
What is its weight,2,0,14,0,0
"Okay, I like this phone. Pack it for me.",6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hi, I want to buy a phone",0,0,0,0,0
It should be Samsung company and good memory,1,0,0,O O O B-Brand O O B-Internal_RAM O,"Samsung,High,High"
What is its memory ?,2,0,11,0,0
"Superb, What is its cost ?",2,0,8,0,0
"Unfortunately, that's too costly for me. Do you  phone with same specification at lower price ?",1,-1,0,O O O O O O O O O O O O O B-Cost O O,Less
That is good to know but can't afford it,3,0,0,0,0
What is its color ?,2,0,2,0,0
I will take it.,6,0,0,0,0
Thanks a ton,4,1,0,0,0
"hi, can you help me in buying a phone ?",0,0,0,0,0
it should have good camera and good battery capacity,1,0,0,O O O B-P_Camera O O B-Battery O O,"High,High,High"
how much does it cost ? ,2,0,8,0,0
what is it's color ? ,2,0,2,0,0
"oh, is it possible in Gold ? ",1,-1,0,O O O O O B-Color O,Gold
but I like Gold,3,0,0,0,0
what is it's cost ? ,2,0,8,0,0
ok can you book it for me,6,0,0,0,0
Thanks for help,4,1,0,0,0
"hi, I want to buy a new phone",0,0,0,0,0
It should have OS android and dual sim features,1,0,0,O O O O B-OS O B-SIM O O,"Android,D"
"No, that's it",5,0,0,0,0
what is its cost ?,2,0,8,0,0
what color is it ?,2,0,2,0,0
"Oh, is it possible to get in white color ?",1,-1,0,O O O O O O O B-Color O O,White
but I would prefer in white,3,0,0,0,0
what's the price ?,2,0,8,0,0
"Okay, Can you book it for me ?",6,0,0,0,0
Thanks a lot ,4,1,0,0,0
"Hey, I am looking for a good phone",0,0,0,0,0
It should be 2017 released phone with good memory and high camera quality,1,0,0,O O O B-Released_Yr O O O  B-RAM O O  B-P_Camera O O,"2017,High,High,High,High"
What is the price ?,2,0,8,0,0
Does it has DualSim ?,2,0,13,0,0
Is it new released phone ?,2,0,9,0,0
Does Radio works on it ?,2,0,10,0,0
Oh but I often listen to Radio,1,-1,0,O O O O O O B-Radio,Y
But i would prefer radio feature in my new phone,3,0,0,0,0
What is the cost ?,2,0,8,0,0
ok can you book it  for me,6,0,0,0,0
Thanks for help,4,1,0,0,0
"Hey, can you help me in buying a new phone ?",0,0,0,0,0
I want to buy a grey color phone with good camera.,1,0,0,O O O O O B-Color O O O  B-P_Camera O   ,"Grey,High,High"
what is it's primary camera quality ?,2,0,7,0,0
I hope it has DualSim feature in it.,2,0,13,0,0
what is it's cost ? ,2,0,8,0,0
oh 340 is too costly for me. Can you suggest some other phone in cheaper price ?,1,-1,0,O O O O O O O O O O O O O O B-Cost O O,Less
My budget restricts me to buy this phone,3,0,0,0,0
ok can you book it for me,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hello, I want to buy a new phone.",0,0,0,0,0
I want to buy a light weight phone with good camera quality ,1,0,0,O O O O O B-Weight_g O O O B-P_Camera O O,"High,High,Light"
What is its battery ?,2,0,1,0,0
What color is it ?,2,0,2,0,0
what is its released year ?,2,0,9,0,0
What is its price ?,2,0,8,0,0
I want in higher range. My budget is 400 plus,1,0,0,O O O O O O O O B-Cost I-Cost,400+
But I don't want to buy this phone I want in higher range.,3,-1,0,0,0
What is its price ?,2,0,8,0,0
ok I will take this phone,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hi, I want to buy a new phone.",0,0,0,0,0
I want 64 GB internal RAM phone.,1,0,0,O O B-Internal_RAM O O O O,64
What is its color ?,2,0,2,0,0
"oh, I am not fond of Gunmetal color. Do you have in some other color.",1,-1,0,O O O B-Color O O B-Color O O O O O O O O,Non Gunmetal
True but somehow i have aversion towards Gunmetal color.,3,0,0,0,0
"Lovely, What is its color ?",2,0,2,0,0
What is its price ?,2,0,8,0,0
"Cool, I will take it.",6,0,0,0,0
Thanks a lot,4,1,0,0,0
"Hi, can you please help me in selecting a phone ?",0,0,0,0,0
I want to buy a GPS operated phone with 15MP primary camera,1,0,0,O O O B-GPS O O O O O B-P_Camera O O,"Y,15"
How is camera quality ?,2,0,7,0,0
How much does it cost ? ,2,0,8,0,0
What is its memory ?,2,0,5,0,0
"oh, It will not solve my purpose. I want a GPS operated phone with higher internal memory",1,-1,0,O O O O O O O O O O O O O O B-RAM O O ,"High,High"
May be but I have faced problem in the past with less storage,3,0,0,0,0
Okay book this model for me.,6,0,0,0,0
Thanks for helping me.,4,1,0,0,0
"Hello, I want to buy a new phone.",0,0,0,0,0
"Yes, i need a phone with double sim in less cost",1,0,0,S-Bim O O O O O O O O B-Cost O,"Y,Less"
What is its battery ?,2,0,1,0,0
What color is it ?,2,0,2,0,0
what is its released year ?,2,0,9,0,0
"oh, I don't want old phone. I want latest mobile phone.",1,-1,0,O O O O O O O O B-Released_Yr O O,Latest
Yeah but still I would go for latest phone,3,0,0,0,0
What is its price ?,2,0,8,0,0
ok can you book it for me,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hi, I want to buy a phone.",0,0,0,0,0
I want a DualSim phone in which radio works,1,0,0,O O O B-Sim O O O B-Radio O ,"D,Y"
is it so ?,5,0,0,0,0
but I don't want Sharp phone I want Samsung company phone,1,-1,0,O O O O O O O O B-Brand O O,Samsung
it looks good enough.,3,1,0,0,0
Ok please complete the booking process.,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"I need to buy a phone, am i at right place ?",0,0,0,0,0
I want to buy Sony Xperia XA Ultra phone of Sony Company.,1,0,0,O O O O B-Model I-Model I-Model I-Model O O B-Company O,"Sony Xperia XA Ultra,Sony"
What is its battery ?,2,0,1,0,0
oh I thought it must be around 4000 mAH. Can you suggest me a phone with 4000 mAH battery ?,1,-1,0,O O O O O O O B-Battery I-Battery O O O O O O O O O O O,4000+
But I travel a lot so need high power battery phone,3,0,0,0,0
What color is it available ?,2,0,2,0,0
What is its price ?,2,0,8,0,0
"Okay, I will buy it then.",6,0,0,0,0
Thanks a lot for teaching me its operation.,4,1,0,0,0
I wanna buy a phone which fulfills all my requirements.,0,0,0,0,0
I want to buy a light weight phone with good performance,1,0,0,O O O O O B-Weight_g O O O O O ,Light
what are its specification ?,2,0,11,0,0
"I am not sure about Oppo phone. I do not want Oppo phone. Do you have some other company phone ?
",1,-1,0,O O O O O O O O O B-Company O B-Company O O O O O O O O O,Non Oppo
it looks good.,3,1,0,0,0
Ok book this one for me,6,0,0,0,0
Thanks for helping me.,4,1,0,0,0
"Hello, can you help me in selecting a phone ?",0,0,0,0,0
 I want to buy a gold color phone with good primary camera for my son.,1,0,0,O O O O O B-Color O O O B-P_Camera O O O O O ,"Gold,High"
"I have budget constraints, it should be under 400 Euro.",1,0,0,O O O O O O O B-Cost I-Cost O,400-
What is its Display Size ?,2,0,3,0,0
"oh, but I want a phone which has small Display Size.",1,-1,0,O O O O O O O O B-Display_Size O O,Small
But still I am not comfortable with big Display Size phone,3,0,0,0,0
What is its price ?,2,0,8,0,0
"Perfect, I will take it. Kindly gift wrap it.",6,0,0,0,0
Thanks a ton,4,1,0,0,0
I am looking for a good phone,0,0,0,0,0
I want a small display size phone with good memory,1,0,0,O O O B-Display_Size O O O O  B-RAM O,"Small,High,High"
I want in black color.,1,0,0,O O O B-Black O,Black
What is its OS ?,2,0,6,0,0
"Oh, I am not comfortable with Symphony but I want android phone. ",1,-1,0,O O O O O O O O O O B-OS O,And
My previous phone was Android so I feel comfortable with And phone,3,0,0,0,0
What color is it available in your store ?,2,0,2,0,0
"Okay, I will book this phone",6,0,0,0,0
Thanks a lot.,4,1,0,0,0
"Good evening, I am looking for a good phone",0,0,0,0,0
I am looking for a silver color  LG phone,1,0,0,O O O O O B-Color O B-Brand O,"LG,Silver"
What is its internal Ram storage ?,2,0,5,0,0
I want a LG phone with more internal RAM space,1,0,0,O O O O O O B-Internal_RAM O O O,High
But I have faced storage problem in 16 GB phone.,3,-1,0,0,0
"Lovely, what is its cost ?",2,0,8,0,0
Book it for me.,6,0,0,0,0
Thanks dear,4,1,0,0,0
"Hi, I am looking for a good mobile",0,0,0,0,0
"Hey, I am looking for a Acer mobile",1,0,0,O O O O O O B-Brand O,Acer
Iconia Tab A700 by Acer is in demand these days,1,0,0,B-Model I-Model I-Model O B-Brand O O O O O ,"Acer,Iconia Tab A700"
But Titanium Gray color is not my favourite,3,0,0,0,0
What is its price ?,2,0,8,0,0
What is its battery ?,2,0,1,0,0
"Fine, i will take it.",6,0,0,0,0
Thanks a ton,4,1,0,0,0
"Good Evening, I want to buy a cell Phone",0,0,0,0,0
I want to buy a oppo phone,1,0,0,O O O O O B-Brand O,Oppo
What is its battery ?,2,0,1,0,0
What is its cost ?,2,0,8,0,0
Sorry that's too expensive for me. My budget is lttle less somewhere around 400 Euro,1,-1,0,O O O O O O O O O O O O O B-Cost I-Cost,400-
I take your point but I don't have that much budget,3,0,0,0,0
What is its color ?,2,0,2,0,0
I will take it.,6,0,0,0,0
I am very happy today. Thanks a lot ,4,1,0,0,0
"Good Evening, I am looking for a trending phone",0,0,0,0,0
 I need to have a phone that has high memory and good battery life.,1,0,0,O O O O O O O O B-RAM O O B-Battery O O,"High,High,High"
What is its color ?,2,0,2,0,0
Whta is its weight ?,2,0,14,0,0
That's a bit on heavier side. Do you have something in light weight ?,1,-1,0,O O O O O O O O O O O B-Weight_g O O,Light
Yeah but I don't find comfortable to keep heavy phone in my pocket ,3,0,0,0,0
What is its price ?,2,0,8,0,0
"Okay, I will take this phone.",6,0,0,0,0
thanks a ton,4,1,0,0,0
"Hey, I want to buy a phone.",0,0,0,0,0
I want a latest phone under 350 Euro,1,0,0,O O O B-Released_Yr O B-Cost I-Cost I-Cost,"Latest,350-"
what is its camera quality ?,2,0,7,0,0
What is its color ?,2,0,2,0,0
I don't like this color. Do you have in some other color ?,1,-1,0,O O O O O O O O O O O O O,Null
But Crown Gold is not my choice. Show me some other phone,3,0,0,0,0
what is its cost ?,2,0,8,0,0
"Okay, I will take this phone.",6,0,0,0,0
You are a very good salesman. Thanks a lot,4,1,0,0,0
I am looking for a good phone,0,0,0,0,0
I want a grey color phone with radio facility,1,0,0,O O O B-Color O O O B-Radio O,"Grey,Y"
I want a dualsim phone.,1,0,0,O O O B-DualSim O,D
What is its OS ?,2,0,6,0,0
Sorry I do not want android phone this time. ,1,-1,0,O O O B-OS O B-OS O O O,Non And
My previous was Android. This time I want to try other OS,3,0,0,0,0
What color is it available in your store ?,2,0,2,0,0
"Okay, I will book black phone",6,0,0,0,0
Thanks a lot.,4,1,0,0,0
"Good evening, I am looking for a good phone",0,0,0,0,0
I am looking for a Sony mobile,1,0,0,O O O O O B-Brand O,Sony
What is its price ?,2,0,8,0,0
Sorry I can not buy this Tab that's little expensive for me. Do you have other Tab in lower cost around 400 ?,1,-1,0,O O O O O O O O O O O O O O O O O O B-Cost O O B-Cost O,400-
Yeah but I don't have that much budget. Do you have Sony Tab under 400 Euro,3,0,0,0,0
"Lovely, what is its cost ?",2,0,8,0,0
Book it for me.,6,0,0,0,0
Thanks dear,4,1,0,0,0
"hi, can you help me in buying a phone ?",0,0,0,0,0
how much does it cost ? ,2,0,8,0,0
what is it's color ? ,2,0,2,0,0
"oh, is it possible in Gold ? ",1,-1,0,O O O O O B-Color O,Gold
but I like Gold,3,0,0,0,0
what is it's cost ? ,2,0,8,0,0
ok can you book it for me,6,0,0,0,0
